Status,Genus,Species,Body,Brain
Extant,Peroryctes,raffrayana,6.72142570079064,1.84530023615608
Extant,Echymipera,rufescens,6.96837990079857,1.31640823365572
Extant,Echymipera,kalubu,6.85646198459459,1.30019166206648
Extant,Echymipera,clara,7.12004008696147,1.49962304642689
Extant,Microperoryctes,longicauda,6.28785856016178,1.33762918913861
Extant,Isoodon,obesulus,6.62671774924902,1.35840915763035
Extant,Isoodon,macrourus,7.37775890822787,1.48613969608961
Extant,Perameles,bougainville,5.42053499927229,1.16627093714192
Extant,Perameles,nasuta,6.82979373751242,1.60140574073684
Extant,Perameles,gunnii,6.76849321164863,1.50407739677627
Extant,Macrotis,lagotis,7.20785987143248,1.88251383249652
Extant,Notoryctes,caurinus,4.00733318523247,-0.2484613592985
Extant,Burramys,parvus,3.72569342723665,0
Extant,Cercartetus,lepidus,1.94591014905531,-1.02165124753198
Extant,Cercartetus,concinnus,2.56494935746154,-1.20397280432594
Extant,Cercartetus,nanus,3.17805383034795,-0.843970070294529
Extant,Cercartetus,caudatus,3.40119738166216,-0.342490308946776
Extant,Phalanger,vestitus,7.52294091807237,2.2554934854602
Extant,Phalanger,carmelitae,6.90775527898214,2.13888900032326
Extant,Phalanger,orientalis,7.82404601085629,1.99741770620125
Extant,Phalanger,sericeus,7.60240133566582,2.29857707159651
Extant,Phalanger,lullulae,7.39786786115059,1.80664808172181
Extant,Phalanger,gymnotis,7.90100705199242,2.56494935746154
Extant,Phalanger,ornatus,7.49554194388426,1.94876321803772
Extant,Spilocuscus,maculatus,8.07090608878782,2.59525470695687
Extant,Spilocuscus,rufoniger,8.69951474821019,2.82137888640921
Extant,Wyulda,squamicaudata,7.27931883541462,2.31253542384721
Extant,Trichosurus,vulpecula,7.87283617502572,2.39789527279837
Extant,Trichosurus,caninus,8.1605182474775,2.47653840011748
Extant,Lagostrophus,fasciatus,7.37775890822787,1.94591014905531
Extant,Onychogalea,fraenata,8.6569551337914,2.68784749378469
Extant,Onychogalea,unguifera,8.8023721336499,2.81540871942271
Extant,Macropus,irma,8.98719682066197,3.20680324363393
Extant,Macropus,rufogriseus,9.69276652122048,3.58351893845611
Extant,Macropus,eugenii,8.77955745588373,3.16547504814109
Extant,Macropus,agilis,9.61580548008435,3.5055573969864
Extant,Macropus,parryi,9.51044496442652,3.72086249996699
Extant,Macropus,parma,8.41183267575841,2.92852352386054
Extant,Macropus,dorsalis,9.21532791348722,3.37416870927424
Extant,Macropus,antilopinus,10.2045176425074,4.03953632572711
Extant,Macropus,robustus,10.1415197163441,4.07753744390572
Extant,Macropus,rufus,10.5966347330961,4.13356527537538
Extant,Wallabia,bicolor,9.61580548008435,3.49347265777133
Extant,Macropus,giganteus,10.615211118669,4.24563400976833
Extant,Macropus,fuliginosus,10.5050675395706,4.06044301054642
Extant,Lagorchestes,hirsutus,7.41457288135059,2.05027016437956
Extant,Lagorchestes,conspicillatus,8.06306291132679,2.63905732961526
Extant,Setonix,brachyurus,8.00636756765025,2.63188884013665
Extant,Thylogale,stigmatica,8.43381158247719,2.87919845729804
Extant,Thylogale,brunii,8.19422930481982,2.86220088092947
Extant,Thylogale,browni,8.22737550683403,2.90690105984738
Extant,Thylogale,thetis,8.59415423255237,2.95491027903374
Extant,Thylogale,billardierii,8.60337088765729,3.09557760852371
Extant,Dendrolagus,goodfellowi,8.9226582995244,3.34638914516716
Extant,Dendrolagus,matschiei,9.0825070004663,3.31418600467253
Extant,Dendrolagus,spadix,9.11602969250494,3.3499040872746
Extant,Dendrolagus,lumholtzi,8.88114161932147,3.26575941076705
Extant,Dendrolagus,bennettianus,9.30109473524465,2.91777073208428
Extant,Dendrolagus,dorianus,9.16429643347478,3.47506723022861
Extant,Dendrolagus,inustus,9.50673438502998,3.40452517175483
Extant,Petrogale,xanthopus,9.10497985631836,3.13549421592915
Extant,Petrogale,penicillata,8.86785006302941,3.17387845893747
Extant,Petrogale,inornata,8.43381158247719,2.83321334405622
Extant,Petrogale,assimilis,8.41183267575841,2.86220088092947
Extant,Petrogale,lateralis,8.43381158247719,2.95491027903374
Extant,Petrogale,godmani,8.46589989702869,2.89037175789616
Extant,Petrogale,brachyotis,8.30647216010058,2.75684036527164
Extant,Petrogale,concinna,7.17011954344963,2.39789527279837
Extant,Petrogale,persephone,8.73230457103318,3.06805293513362
Extant,Dorcopsulus,vanheurni,7.43632258422428,2.46809953147162
Extant,Dorcopsulus,macleayi,8.00235954625271,2.60268968544438
Extant,Dorcopsis,atrata,7.62559507213245,2.81540871942271
Extant,Dorcopsis,muelleri,8.05515773181968,3.01553490085017
Extant,Potorous,tridactylus,7.00306545878646,2.25444471766611
Extant,Bettongia,gaimardi,7.41457288135059,2.45958884180371
Extant,Bettongia,penicillata,7.07432847880795,2.25758772706331
Extant,Bettongia,lesueur,7.15461535691366,2.35137525716348
Extant,Aepyprymnus,rufescens,7.91935619066062,2.50959926237837
Extant,Gymnobelideus,leadbeateri,4.84811636459848,1.04731899428056
Extant,Petaurus,breviceps,4.84811636459848,0.73716406597672
Extant,Petaurus,norfolcensis,5.4380793089232,1.10525683138678
Extant,Petaurus,australis,6.32346250333427,1.74221902366792
Extant,Dactylopsila,trivirgata,6.11257537285704,1.7630170003624
Extant,Dactylonax,palpator,6.07534603108868,1.93296963777958
Extant,Hemibelideus,lemuroides,6.88192451894762,1.14740245283754
Extant,Petauroides,volans,7.17011954344963,1.54543258245819
Extant,Pseudochirulus,forbesi,6.47697236288968,1.21194097397511
Extant,Pseudochirulus,mayeri,5.02223442993961,0.698134722070984
Extant,Pseudochirulus,caroli,6.08677472691231,1.16315080980568
Extant,Pseudochirulus,canescens,5.7037824746562,0.587786664902119
Extant,Pseudochirulus,herbertensis,7.01256564333448,1.71739505393919
Extant,Pseudocheirus,peregrinus,6.68461172766793,1.50851199384414
Extant,Pseudochirops,archeri,6.9985096422506,1.76985463384001
Extant,Petropseudes,dahli,7.40245152081824,1.61740608208328
Extant,Pseudochirops,albertisii,6.66504657217309,1.54329810992956
Extant,Pseudochirops,coronatus,7.3132203870903,1.63510565918268
Extant,Pseudochirops,cupreus,7.43838353004431,2.02022218201986
Extant,Pseudochirops,corinnae,7.02375895473844,1.67896397508271
Extant,Tarsipes,rostratus,2.35137525716348,-1.02165124753198
Extant,Acrobates,pygmaeus,2.4423470353692,-1.04982212449868
Extant,Distoechurus,pennatus,3.91202300542815,-0.0618754037180875
Extant,Lasiorhinus,latifrons,10.2082110908428,4.01638302075239
Extant,Vombatus,ursinus,10.1658518170036,4.07753744390572
Extant,Planigale,novaeguineae,2.70136121295141,-1.30933331998376
Extant,Planigale,maculata,2.2082744135228,-1.6094379124341
Extant,Planigale,gilesi,2.21920348405499,-1.77195684193188
Extant,Planigale,tenuirostris,1.80005827204275,-1.96611285637283
Extant,Planigale,ingrami,1.43508452528932,-1.89711998488588
Extant,Sminthopsis,griseoventer,2.86220088092947,-0.713349887877465
Extant,Sminthopsis,leucopus,3.17805383034795,-0.891598119283784
Extant,Sminthopsis,murina,2.83321334405622,-0.82098055206983
Extant,Sminthopsis,butleri,2.56494935746154,-1.04982212449868
Extant,Sminthopsis,hirtipes,2.94443897916644,-0.891598119283784
Extant,Ningaui,yvonneae,2.19722457733622,-1.34707364796661
Extant,Ningaui,ridei,2.14006616349627,-1.42711635564015
Extant,Sminthopsis,crassicaudata,2.70805020110221,-1.02165124753198
Extant,Sminthopsis,macroura,2.99573227355399,-0.916290731874155
Extant,Antechinomys,laniger,3.2188758248682,-0.755022584278033
Extant,Dasyuroides,byrnei,4.76643833358421,0.405465108108164
Extant,Dasykaluta,rosamondae,3.55534806148941,-0.616186139423817
Extant,Dasycercus,cristicauda,4.78749174278205,0.215111379616945
Extant,Pseudantechinus,macdonnellensis,3.48124008933569,-0.713349887877465
Extant,Pseudantechinus,bilarni,3.31418600467253,-0.430782916092454
Extant,Phascolosorex,dorsalis,3.8607297110406,0.104360015324243
Extant,Neophascogale,lorentzii,5.35658627467201,0.896088024556636
Extant,Dasyurus,albopunctatus,6.44094654063292,1.33236601909433
Extant,Dasyurus,viverrinus,7.00306545878646,1.67335123817775
Extant,Dasyurus,geoffroii,7.00306545878646,1.64287268852034
Extant,Dasyurus,maculatus,7.82404601085629,2.24177295359729
Extant,Dasyurus,hallucatus,6.39275428380567,1.21787570949493
Extant,Myoictis,melas,4.51085950651685,0.717839793150317
Extant,Parantechinus,apicalis,4.31079912538551,0.182321556793955
Extant,Phascogale,tapoatafa,5.26527751246984,0.593326845277734
Extant,Phascogale,calura,3.94158180766969,-0.0943106794712413
Extant,Murexia,longicaudata,4.35670882668959,0.518793793415168
Extant,Murexia,naso,3.88156379794344,-0.261364764134408
Extant,Murexia,melanurus,3.43398720448515,-0.430782916092454
Extant,Murexia,rothschildi,4.0943445622221,0.048790164169432
Extant,Antechinus,swainsonii,3.97029191355212,0.0861776962410524
Extant,Antechinus,minimus,4.21582445975981,-0.301105092783922
Extant,Antechinus,flavipes,3.80666248977032,-0.446287102628419
Extant,Antechinus,leo,4.30406509320417,-0.287682072451781
Extant,Antechinus,bellus,3.80666248977032,-0.462035459596559
Extant,Antechinus,stuartii,3.31418600467253,-0.27443684570176
Extant,Myrmecobius,fasciatus,6.28692876000182,1.44691898293633
Extant,Dromiciops,gliroides,3.17805383034795,-0.210721031315653
Extant,Thylamys,elegans,3.2188758248682,-0.342490308946776
Extant,Metachirus,nudicaudatus,5.7037824746562,1.25276296849537
Extant,Philander,opossum,6.10924758276437,1.34286480319255
Extant,Didelphis,virginiana,7.54960916515453,1.90508815453506
Extant,Didelphis,marsupialis,7.39018142822643,1.8484548129046
Extant,Didelphis,aurita,7.0475172213573,1.79674701073909
Extant,Monodelphis,brevicaudata,4.24849524204936,-0.105360515657826
Extant,Micoureus,demerarae,4.60517018598809,0.336472236621213
Extant,Marmosa,murina,3.80666248977032,0.0953101798043249
Extant,Marmosa,rubra,4.11087386417331,0.182321556793955
Extant,Marmosa,robinsoni,4.0943445622221,-0.356674943938732
Extant,Marmosa,mexicana,3.90197266957464,0
Extant,Caluromys,derbianus,5.76205138278018,1.22377543162212
Extant,Caluromys,lanatus,6.03548143252476,1.51292701205326
Extant,Caluromys,philander,5.23909800688807,1.25276296849537
Extant,Lestoros,inca,3.25037449192757,-0.23572233352107
Extant,Rhyncholestes,raphanurus,3.15700042115011,-0.430782916092454
Extant,Caenolestes,fuliginosus,3.55534806148941,-0.385662480811985
Fossil,Thylacosmilus,atrox,9.27645577418304,3.80666248977032
Extant,Eupleres,goudotii,8.00636756765025,2.83026783382646
Extant,Fossa,fossana,7.3132203870903,2.98011089265103
Extant,Cryptoprocta,ferox,9.15904707758863,3.47010136030937
Extant,Galidia,elegans,6.68461172766793,2.37024374146786
Extant,Salanoia,concolor,6.47697236288968,2.39971180372477
Extant,Suricata,suricatta,6.59304453414244,2.33020026002702
Extant,Crossarchus,obscurus,7.13089883029635,2.28033948404673
Extant,Helogale,parvula,5.7037824746562,1.56024766824333
Extant,Mungos,mungo,7.56527528189893,2.35042242240821
Extant,Herpestes,urva,7.52833176670725,3.04022751344054
Extant,Herpestes,brachyurus,7.27931883541462,2.52972066557779
Extant,Herpestes,javanicus,6.26720054854136,2.00417905717929
Extant,Herpestes,edwardsii,7.18538701558042,2.35042242240821
Extant,Herpestes,smithii,7.48436864328613,2.6203112867942
Extant,Herpestes,vitticollis,7.85554467791566,3.24998681989325
Extant,Herpestes,naso,8.00636756765025,3.23985423125339
Extant,Atilax,paludinosus,8.10167774745457,3.3499040872746
Extant,Ichneumia,albicauda,8.1605182474775,3.19006474301408
Extant,Cynictis,penicillata,6.73340189183736,2.35042242240821
Extant,Paracynictis,selousi,7.40245152081824,2.76000994003292
Extant,Rhynchogale,melleri,7.90838715929004,2.83026783382646
Extant,Bdeogale,crassicauda,7.34601020991329,2.83026783382646
Extant,Herpestes,ichneumon,8.55256033525353,3.15016862685841
Extant,Proteles,cristata,9.21034037197618,3.55990907281698
Extant,Hyaena,hyaena,10.638496187191,4.57995493684703
Extant,Hyaena,brunnea,10.5789797978574,4.72862598991501
Extant,Crocuta,crocuta,11.0508900053737,4.97002161121096
Fossil,Thalassictis,hipparionum,9.85008677580901,4.35195395041759
Fossil,Hyaenictitherium,hyaenoides,10.0501819316869,4.5107496103686
Fossil,Ictitherium,viverrinum,9.7981270368783,4.1159429617746
Extant,Hemigalus,derbyanus,7.65917136766606,2.94021956362373
Extant,Chrotogale,owstoni,7.58069975222456,3.11351530921037
Extant,Cynogale,bennettii,8.41183267575841,3.39986315864902
Extant,Arctogalidia,trivirgata,7.71868549519847,3.09013294897548
Extant,Paradoxurus,zeylonensis,7.93020620668468,2.87976009730157
Extant,Paradoxurus,hermaphroditus,8.06306291132679,2.91343703082716
Extant,Paguma,larvata,8.36637030168165,3.43010872515658
Extant,Arctictis,binturong,9.19826779074191,3.70990682130601
Extant,Viverra,tangalunga,9.0687768076544,3.18013499655177
Extant,Viverra,zibetha,9.15904707758863,3.61010677294854
Extant,Viverra,megaspila,9.13237883050647,3.60004824040732
Extant,Civettictis,civetta,9.39266192877014,3.61010677294854
Extant,Viverricula,indica,7.97590836016554,2.82018770103906
Extant,Genetta,tigrina,7.70975686445416,2.71997877196748
Extant,Genetta,angolensis,7.40853056689463,2.74019465442878
Extant,Genetta,genetta,7.60090245954208,2.63977136034892
Extant,Genetta,servalina,6.96602418710611,2.71004820376488
Extant,Prionodon,pardicolor,6.23441072571837,2.20055236742889
Extant,Prionodon,linsang,6.5510803350434,2.14006616349627
Extant,Prionailurus,rubiginosus,7.92660259918138,2.94021956362373
Extant,Prionailurus,viverrinus,9.1204156644482,3.84009726585656
Extant,Prionailurus,bengalensis,8.10167774745457,3.37997374521053
Extant,Prionailurus,planiceps,7.3132203870903,3.16420842352589
Extant,Otocolobus,manul,8.00636756765025,3.54008938052877
Extant,Felis,chaus,8.90788301394225,3.66995144422842
Extant,Felis,silvestris,8.61794309451638,3.62006513811358
Extant,Felis,nigripes,7.17011954344963,3.00022217882684
Extant,Puma,yagouaroundi,8.91731069319781,3.68987895444702
Extant,Puma,concolor,10.8512769514697,4.82999232768086
Extant,Acinonyx,jubatus,10.8197782844103,4.70998055034044
Extant,Lynx,rufus,9.09380655572023,4.05992563535164
Extant,Lynx,canadensis,9.17810846015857,4.19975507662997
Extant,Lynx,lynx,9.79534539391642,4.25006543721888
Extant,Leopardus,pardalis,9.38429367909962,4.14993693564581
Extant,Leopardus,geoffroyi,8.29404964010203,3.50645789231965
Extant,Leptailurus,serval,9.39266192877014,4.03953632572711
Extant,Caracal,caracal,9.52879410309472,4.01005674569951
Extant,Caracal,aurata,9.27331517113757,4.05992563535164
Extant,Panthera,tigris,11.9988024433723,5.62999240068545
Extant,Panthera,pardus,10.8597679326264,4.82999232768086
Extant,Panthera,leo,11.9922604216448,5.40999290043863
Extant,Panthera,onca,11.5129254649702,5.01999138902028
Extant,Neofelis,nebulosa,9.88735817060624,4.22989474904298
Fossil,Smilodon,fatalis,12.326518798606,5.84617862561486
Fossil,Homotherium,hadarensis,11.5756185343087,5.35427227869248
Fossil,Homotherium,serus,11.9183905730784,5.80600808161854
Fossil,Paleoprionodon,lamandini,7.58578882173203,2.18829594659192
Fossil,Stenogale,julieni,7.6685611080159,2.32532457996354
Fossil,Herpestides,antiquus,8.29404964010203,3.2722270003652
Extant,Nandinia,binotata,7.60090245954208,2.8501282996952
Extant,Urocyon,cinereoargenteus,8.25062008217469,3.70990682130601
Extant,Urocyon,littoralis,7.54960916515453,3.31998732623661
Extant,Alopex,lagopus,8.06777619577889,3.57009591812397
Extant,Vulpes,velox,7.69621263934641,3.47010136030937
Extant,Vulpes,rueppellii,8.08641027532378,3.19006474301408
Extant,Vulpes,vulpes,8.98719682066197,3.76999850539873
Extant,Vulpes,corsac,7.86914556356578,3.57627050973128
Extant,Vulpes,bengalensis,7.91205688817901,3.25037449192757
Extant,Vulpes,zerda,6.72743172485086,2.94706710157271
Extant,Vulpes,chama,7.99294454731811,3.51154543883102
Extant,Vulpes,pallida,7.9373746961633,3.22007510544368
Extant,Nyctereutes,procyonoides,8.3039999709552,3.3499040872746
Extant,Otocyon,megalotis,8.33086361322474,3.28989331210348
Extant,Cerdocyon,thous,8.56407677731509,3.73289633953071
Extant,Atelocynus,microtis,8.95544812234739,4.13003340463061
Extant,Chrysocyon,brachyurus,10.0540604110155,4.78998862298063
Extant,Speothos,venaticus,8.69951474821019,3.7000666435045
Extant,Canis,adustus,9.23503298456655,3.9500892062346
Extant,Canis,mesomelas,9.04782144247841,3.94002720183774
Extant,Canis,lupus,10.3791004205464,4.87976701889122
Extant,Canis,latrans,9.50375597627572,4.47994704123401
Extant,Canis,aureus,9.24474179869351,4.27999390910873
Extant,Canis,simensis,9.21034037197618,4.39036675894888
Extant,Cuon,alpinus,9.45407055689878,4.55387689160054
Extant,Lycaon,pictus,10.001067880875,4.8599674311041
Fossil,Tomarctus,brevirostris,9.8725127482367,3.93769075217672
Fossil,Epicyon,haydeni,11.1824750606675,4.87725627081532
Fossil,Borophagus,littoralis,10.3747404011823,4.84434455437483
Fossil,Aelurodon,ferox,10.4843055481222,4.90082042808905
Fossil,Hesperocyon,gregarius,7.74066440191724,2.70001802940495
Fossil,Osbornodon,fricki,10.5534662376947,4.61729636578593
Fossil,Mesocyon,brachyops,8.8942588250027,3.67249597486341
Fossil,Enhydrocyon,basilatus,10.2747062219157,4.29973139194705
Extant,Eira,barbara,8.27129265297941,3.57990129154419
Extant,Martes,pennanti,8.29404964010203,3.46009502290964
Extant,Martes,foina,7.33953769540767,3.04022751344054
Extant,Martes,zibellina,7.02997291170639,2.91777073208428
Extant,Martes,americana,7.13089883029635,2.76000994003292
Extant,Martes,martes,7.17011954344963,2.99573227355399
Extant,Martes,flavigula,7.51752085060303,3.52988372262348
Extant,Gulo,gulo,9.74155668538991,4.36003661678227
Extant,Poecilogale,albinucha,5.82894561761021,1.56024766824333
Extant,Ictonyx,striatus,7.17011954344963,2.28033948404673
Extant,Ictonyx,libyca,5.99146454710798,1.49962304642689
Extant,Vormela,peregusna,6.29156913955832,1.56024766824333
Extant,Galictis,cuja,7.36518012602101,2.71004820376488
Extant,Galictis,vittata,7.76131918094799,3.14285833844428
Extant,Aonyx,capensis,9.85219425814858,4.54997455052014
Extant,Aonyx,cinerea,8.30893825259578,3.46417218082354
Extant,Lutrogale,perspicillata,9.10497985631836,4.17007027275024
Extant,Lutra,lutra,9.08136999067922,3.74004774068834
Extant,Lutra,maculicollis,8.29654652030061,3.68987895444702
Extant,Enhydra,lutris,10.0647557001323,4.82999232768086
Extant,Lontra,canadensis,8.96826881077645,3.95718755738252
Extant,Lontra,longicaudis,8.98719682066197,3.88156379794344
Extant,Lontra,felina,8.29404964010203,3.65713075579936
Extant,Pteronura,brasiliensis,10.0858091093301,4.4500356890381
Extant,Mustela,frenata,5.01063529409626,1.38879124131848
Extant,Neovison,vison,6.46925031679577,1.94591014905531
Extant,Mustela,erminea,4.78749174278205,1.38629436111989
Extant,Mustela,lutreolina,6.08677472691231,2.14006616349627
Extant,Mustela,nigripes,6.74523634948436,2.14006616349627
Extant,Mustela,putorius,6.82437367004309,2.11625551480255
Extant,Mustela,sibirica,6.01615715969835,1.90954250488444
Extant,Mustela,altaica,5.13579843705026,1.50407739677627
Extant,Mustela,nivalis,4.60517018598809,0.688134638736401
Extant,Melogale,personata,7.43838353004431,2.62684014567667
Extant,Melogale,moschata,6.84428285602656,2.78809290877575
Extant,Meles,meles,9.47270463644367,3.91999117507732
Extant,Arctonyx,collaris,8.75778365633417,3.89995042419388
Extant,Mellivora,capensis,9.04782144247841,4.29004839777753
Extant,Taxidea,taxus,8.86925752279729,3.88998187455127
Extant,Bassariscus,astutus,7.02997291170639,2.79971738962803
Extant,Bassariscus,sumichrasti,6.80239476332431,2.96010509591084
Extant,Procyon,cancrivorus,8.68101127664563,3.67554088967476
Extant,Procyon,lotor,8.61794309451638,3.68987895444702
Extant,Nasua,narica,8.21608809863232,3.63758615972639
Extant,Nasua,nasua,8.26100978602383,3.39986315864902
Extant,Bassaricyon,alleni,7.12286665859908,2.91668906621354
Extant,Bassaricyon,gabbii,7.13089883029635,2.83438912314523
Extant,Potos,flavus,8.00636756765025,3.23985423125339
Extant,Ailurus,fulgens,8.49699048409872,3.70990682130601
Extant,Conepatus,chinga,7.56008046502183,2.69327491552006
Extant,Conepatus,leuconotus,8.1605182474775,2.67000213346468
Extant,Conepatus,humboldtii,7.00089036771729,2.37490575457367
Extant,Conepatus,semistriatus,7.62070508683826,2.94021956362373
Extant,Mephitis,mephitis,7.64491934495886,2.33020026002702
Extant,Mephitis,macroura,7.00102701894258,2.13298230860787
Extant,Spilogale,putorius,5.82894561761021,1.6094379124341
Fossil,Promephitis,hootoni,7.33302301438648,2.47401420862158
Extant,Mydaus,javanensis,7.82404601085629,2.96990151351947
Extant,Odobenus,rosmarus,14.0529316976966,6.98100574072173
Extant,Otaria,flavescens,11.8775685785581,5.6641056575033
Extant,Arctocephalus,tropicalis,12.3779229024568,5.24702407216049
Extant,Arctocephalus,pusillus,11.2644641056717,5.82156551031258
Extant,Arctocephalus,gazella,12.4587749990859,5.19351225218191
Extant,Neophoca,cinerea,12.8212582846204,5.33768230007029
Extant,Arctocephalus,australis,12.4470561149727,5.05465217951303
Extant,Arctocephalus,galapagoensis,12.1199699464768,5.03500265054455
Extant,Arctocephalus,forsteri,12.4379380506563,5.17897060891547
Extant,Arctocephalus,philippii,12.5084893777389,5.26656866823346
Extant,Phocarctos,hookeri,12.8758232482837,5.62221082096239
Extant,Zalophus,californianus,12.7728059012345,5.42164058258004
Extant,Eumetopias,jubatus,13.6805495725302,6.06675753114341
Extant,Callorhinus,ursinus,12.5810785461536,5.15692659835605
Extant,Monachus,monachus,12.8212582846204,5.96742796927974
Extant,Monachus,schauinslandi,12.0610468734799,5.91350300563827
Extant,Mirounga,angustirostris,14.2126074164019,6.50727771238501
Extant,Mirounga,leonina,14.7199817130331,6.55233668835811
Extant,Leptonychotes,weddellii,12.9732831543902,6.15183867816911
Extant,Hydrurga,leptonyx,13.2076232213552,6.24125002936861
